t	v0	v1
0.0	-18.770261866611733	-21.007435936112696
0.00025	-18.46345026967075	-20.54545626211692
0.0005	-18.16230374209538	-20.08649515797446
0.00075	-17.866746098134556	-19.63055914192086
0.001	-17.576701152037234	-19.177654732191684
0.00125	-17.29209271805236	-18.727788447022476
0.0015	-17.01284461042889	-18.280966804648806
0.00175	-16.73888064341577	-17.83719632330622
0.002	-16.470124631261942	-17.39648352123028
0.00225	-16.206038486760477	-16.95965817587188
0.0025	-15.947068800259283	-16.525741243275867
0.00275	-15.693138305435387	-16.094744005506307
0.003	-15.444169735965803	-15.666677744627279
0.00325	-15.200085825527548	-15.241553742702852
0.0035	-14.960809307797634	-14.819383281797094
0.00375	-14.726262916453084	-14.400177643974079
0.004	-14.496369385170912	-13.983948111297869
0.00425	-14.271051447628135	-13.570705965832541
0.0045	-14.050231837501773	-13.160462489642168
0.00475	-13.831271629007183	-12.751511216813267
0.005	-13.616898898282468	-12.345573959020932
0.00525	-13.407031061612033	-11.942664061883683
0.0055	-13.20158553528029	-11.542794871020043
0.00575	-13.000479735571654	-11.145979732048527
0.006	-12.803631078770525	-10.75223199058766
0.00625	-12.61095698116132	-10.361564992255959
0.0065	-12.422374859028444	-9.973992082671947
0.00675	-12.237802128656309	-9.589526607454138
0.007	-12.057156206329324	-9.20818191222106
0.00725	-11.878607615945857	-8.828813184397983
0.0075	-11.702401398011538	-8.451528885107992
0.00775	-11.530301615671831	-8.07753071979186
0.008	-11.362214340892667	-7.706830229821069
0.00825	-11.198045645639985	-7.339438956567127
0.0085	-11.037701601879718	-6.975368441401519
0.00875	-10.881088281577803	-6.614630225695741
0.009	-10.728111756700175	-6.257235850821289
0.00925	-10.578678099212764	-5.903196858149651
0.0095	-10.432693381081512	-5.552524789052321
0.00975	-10.288801541910093	-5.204819355765851
0.01	-10.147343862874573	-4.860233704197299
0.01025	-10.009618355524726	-4.519233614329566
0.0105	-9.875512776808327	-4.181824877091667
0.01075	-9.744914883673147	-3.848013283412608
0.011	-9.617712433066956	-3.5178046242214047
0.01125	-9.493793181937527	-3.1912046904470692
0.0115	-9.373044887232634	-2.868219273018612
0.01175	-9.255355305900052	-2.548854162865046
0.012	-9.139922145979444	-2.234724784019075
0.01225	-9.028156961987534	-1.924439716385137
0.0125	-8.919915943045691	-1.6179947141500166
0.01275	-8.815055278275286	-1.315385531500497
0.013	-8.713431156797686	-1.0166079226233569
0.01325	-8.614899767734265	-0.721657641705377
0.0135	-8.519317300206389	-0.43053044293333675
0.01375	-8.426539943335428	-0.1432220804940208
0.014	-8.336423886242752	0.14027169142579235
0.01425	-8.248825318049732	0.41995511863932133
0.0145	-8.167153560534322	0.6914485186523871
0.01475	-8.089020518378799	0.9590198812797375
0.015	-8.014222441648055	1.2226841937401238
0.01525	-7.942555580406994	1.4824564432522966
0.0155	-7.873816184720512	1.7383516170350068
0.01575	-7.80780050465351	1.990384702307003
0.016	-7.7443047902708875	2.2385706862870434
0.01625	-7.68312529163754	2.482924556193874
0.0165	-7.62405825881837	2.7234612992462486
0.01675	-7.566899941878274	2.9601959026629183
0.017	-7.515831280220536	3.1924574668252457
0.01725	-7.472101842425515	3.4205158991338536
0.0175	-7.431523815840931	3.6451429050285142
0.01775	-7.393792875070945	3.866336501315589
0.018	-7.358604694719717	4.084094704801446
0.01825	-7.325654949391407	4.298415532292446
0.0185	-7.294639313690175	4.509297000594955
0.01875	-7.265253462220181	4.716737126515324
0.019	-7.237193069585586	4.920733926859924
0.01925	-7.2101538103905485	5.1212854184351135
0.0195	-7.187649191278433	5.326111184424006
0.01975	-7.1711629727220165	5.536253981724483
0.02	-7.157070151942403	5.744241156595757
0.02025	-7.14494775478367	5.949953904803071
0.0205	-7.134372807089896	6.153273422111674
0.02075	-7.124922334705163	6.3540809042868025
0.021	-7.11617336347355	6.552257547093699
0.02125	-7.107702919239134	6.747684546297613
0.0215	-7.0990880278459985	6.9402430976637834
0.02175	-7.072052179011994	7.167144785565391
0.022	-7.046243912955899	7.394263374651961
0.02225	-7.021230219357383	7.621183817210886
0.0225	-6.996578087896118	7.847491065529555
0.02275	-6.971854508251772	8.072770071895352
0.023	-6.946626470104018	8.296605788595663
0.02325	-6.920460963132518	8.518583167917885
0.0235	-6.892924977016951	8.738287162149394
0.02375	-6.8635855014369795	8.955302723577585
0.024	-6.832009526072275	9.16921480448984
0.02425	-6.7559556912985625	9.336225761707265
0.0245	-6.677945925056417	9.500225475341077
0.02475	-6.597720889758388	9.661067181512173
0.025	-6.515021247817014	9.818604116341474
0.02525	-6.4295876616448595	9.972689515949908
0.0255	-6.3411607936544705	10.12317661645837
0.02575	-6.2494813062583905	10.26991865398778
0.026	-6.154289861869172	10.412768864659048
0.02625	-6.055327122899371	10.5515804845931
0.0265	-5.952333751761524	10.686206749910818
0.02675	-5.821394273760959	10.783061252743442
0.027	-5.663366306920963	10.840879120913048
0.02725	-5.502286576299122	10.892983048627439
0.0275	-5.338216872709045	10.939709292243672
0.02775	-5.171218986964346	10.981394108118804
0.028	-5.001354709878646	11.018373752609897
0.02825	-4.828685832265557	11.050984482074016
0.0285	-4.653274144938688	11.079562552868197
0.02875	-4.475181438711656	11.104444221349505
0.029	-4.294469504398078	11.125965743874989
0.02925	-4.088194793673349	11.130672437318132
0.0295	-3.8561298537979023	11.116400384826042
0.02975	-3.6215205793639145	11.096590081847333
0.03	-3.3847589761746955	11.071753813552677
0.03025	-3.1462370500335686	11.04240386511274
0.0305	-2.90634680674384	11.009052521698212
0.03075	-2.6654802521088286	10.972212068479747
0.031	-2.4240293919318496	10.932394790628013
0.03125	-2.1823862320162135	10.890112973313684
0.0315	-1.9112443998982587	10.84871745458369
0.03175	-1.6373181349726194	10.802224143292273
0.032	-1.361209489782823	10.751110474095404
0.03225	-1.083520516872401	10.695853881649034
0.0325	-0.804853268784882	10.636931800609116
0.03275	-0.5258097980637978	10.574821665631625
0.033	-0.24699215725267992	10.510000911372511
0.03325	0.030997601104944317	10.442946972487734
0.0335	0.3075574244655428	10.37413728363326
0.03375	0.5820852602855844	10.304049279465046
0.034	0.8686927075272622	10.25844132763242
0.03425	1.157833522562098	10.209949570841177
0.0345	1.448797565182954	10.158861736548843
0.03475	1.7408746951826921	10.105465552212937
0.035	2.0333547723541687	10.050048745290994
0.03525	2.3255276564902356	9.992899043240527
0.0355	2.616683207383778	9.93430417351907
0.03575	2.9061112848276403	9.874551863584148
0.036	3.193101748614682	9.813929840893278
0.03625	3.476944458537769	9.752725832903998
0.0365	3.754388327842175	9.703666289752265
0.03675	4.029268193043434	9.66627456432022
0.037	4.30496792859827	9.627994891395556
0.03725	4.580823085350004	9.588935024276303
0.0375	4.856169214141946	9.549202716260488
0.03775	5.1303418658174165	9.508905720646137
0.038	5.402676591219712	9.468151790731277
0.03825	5.67250894119216	9.427048679813932
0.0385	5.939174466578081	9.385704141192136
0.03875	6.202008718220768	9.344225928163912
0.039	6.448644982228618	9.306788647645345
0.03925	6.68179497600239	9.27319128934047
0.0395	6.913790680671312	9.239322164074853
0.03975	7.1441701791168235	9.205229423958851
0.04	7.372471554220389	9.170961221102814
0.04025	7.598232888863437	9.1365657076171
0.0405	7.820992265927426	9.10209103561206
0.04075	8.040287768293794	9.067585357198052
0.041	8.255657478844014	9.033096824485424
0.04125	8.430175983375367	9.00089167548734
0.0415	8.602250723086005	8.968532454760888
0.04175	8.771695896526987	8.936050612580166
0.042	8.93832570224933	8.903477599219265
0.04225	9.101954338804063	8.870844864952279
0.0425	9.26239600474218	8.8381838600533
0.04275	9.419464898614763	8.805526034796422
0.043	9.572975218972752	8.772902839455744
0.04325	9.722741164367262	8.740345724305353
0.0435	9.868576933349303	8.707886139619344
