t	v0	v1
1000.0	-1.4238845855770603	-2.0149968856588263
1000.2502502502502	-1.4139036716504392	-2.20974989592475
1000.5005005005005	-1.4041089308983135	-2.3547482762394925
1000.7507507507506	-1.3944968974632725	-2.4600176374286833
1001.001001001001	-1.3850641689368057	-2.5345918042704128
1001.2512512512512	-1.3758066550084544	-2.586381614665138
1001.5015015015015	-1.3667225725106658	-2.6202353939979273
1001.7517517517518	-1.3578079517186141	-2.639377492742927
1002.002002002002	-1.3490596332376132	-2.6468515578572727
1002.2522522522522	-1.3404745161013754	-2.6454864759427665
1002.5025025025026	-1.3320504694529052	-2.6378447313650266
1002.7527527527528	-1.323782686589968	-2.625360702004476
1003.0030030030031	-1.315669149282248	-2.608866489989316
1003.2532532532532	-1.307706980476676	-2.5892137378944646
1003.5035035035035	-1.2998933561433	-2.5672255317565233
1003.7537537537537	-1.2922255052753067	-2.5436964010738348
1004.0040040040041	-1.284700286072844	-2.519233126587511
1004.2542542542543	-1.2773158745275583	-2.494008111442796
1004.5045045045044	-1.2700692304950272	-2.4682004823952766
1004.7547547547547	-1.262957783565676	-2.442003704345954
1005.005005005005	-1.2559790107936004	-2.4156235271792155
1005.2552552552553	-1.2491304366965645	-2.3892779857628295
1005.5055055055057	-1.2424093327282204	-2.363158056918702
1005.7557557557558	-1.235813915168365	-2.337266948341536
1006.006006006006	-1.2293415469333784	-2.311610091609547
1006.2562562562563	-1.2229899327549152	-2.286209841626522
1006.5065065065065	-1.2167568191124376	-2.261098029214744
1006.7567567567568	-1.2106399942332193	-2.236315961114999
1007.0070070070069	-1.2046372880923482	-2.211914419986588
1007.2572572572573	-1.1987458842608458	-2.1879442184400943
1007.5075075075075	-1.1929650647076615	-2.164394088978033
1007.7577577577578	-1.1872920941697689	-2.14123966028264
1008.008008008008	-1.181724962305214	-2.1184710947794354
1008.2582582582581	-1.1762616946057467	-2.0960826923338973
1008.5085085085086	-1.1709003523968067	-2.0740728902513976
1008.7587587587589	-1.1656390328375585	-2.052444263277345
1009.0090090090091	-1.1604758689208505	-2.0312035235970236
1009.2592592592594	-1.1554090294732386	-2.0103615208356813
1009.5095095095095	-1.1504369440205107	-1.9899246867698388
1009.7597597597597	-1.1455573920550775	-1.969867583156579
1010.01001001001	-1.1407688751019316	-1.9501789740804127
1010.2602602602603	-1.1360696974907964	-1.9308492647826054
1010.5105105105105	-1.1314581932450753	-1.9118702442166815
1010.7607607607607	-1.1269327260818285	-1.893235085048337
1011.011011011011	-1.122491689411796	-1.8749383436555263
1011.2612612612612	-1.1181335063393858	-1.8569759601284184
1011.5115115115115	-1.1138566296626762	-1.839345258269406
1011.7617617617618	-1.1096595418734148	-1.8220449455930994
1012.0120120120121	-1.1055407551570244	-1.805075113326353
1012.2622622622623	-1.1014988515116468	-1.7884312053411264
1012.5125125125126	-1.0975322998909904	-1.7720996551472932
1012.7627627627628	-1.0936397482510896	-1.756072483832709
1013.0130130130129	-1.089819820713885	-1.740342182303659
1013.2632632632633	-1.0860711648140404	-1.7249018560422524
1013.5135135135135	-1.0823924514989613	-1.7097452251064948
1013.7637637637638	-1.0787823751287762	-1.6948666241302155
1014.014014014014	-1.075239653476346	-1.6802610023231048
1014.2642642642642	-1.0717630277272636	-1.6659239234707124
1014.5145145145144	-1.0683512624798477	-1.6518515659344206
1014.7647647647648	-1.0650031457451508	-1.638040722651479
1015.015015015015	-1.061717488946959	-1.6244888011350032
1015.2652652652654	-1.0584931269217825	-1.6111938234739345
1015.5155155155155	-1.0553291600421801	-1.598155436077815
1015.7657657657658	-1.052223966352834	-1.585368860339115
1016.016016016016	-1.0491766903779998	-1.5728269553478142
1016.2662662662663	-1.0461862612566892	-1.5605212967754742
1016.5165165165165	-1.043251625412129	-1.54844420182276
1016.7667667667668	-1.0403717465517595	-1.5365887292194416
1017.017017017017	-1.0375456056672363	-1.5249486792243927
1017.2672672672672	-1.0347722010344282	-1.5135185936255922
1017.5175175175175	-1.0320505482134192	-1.5022937557401232
1017.7677677677677	-1.029379680048507	-1.4912701904141723
1018.018018018018	-1.0267586466682037	-1.4804446640230315
1018.2682682682682	-1.0241865154852359	-1.4698146844710975
1018.5185185185186	-1.021662371196543	-1.4593785011918659
1018.7687687687688	-1.0191853157832822	-1.4491351051479502
1019.019019019019	-1.0167544685108234	-1.4390842288310615
1019.2692692692692	-1.014368965928747	-1.4292263462620016
1019.5195195195195	-1.0120279618708528	-1.4195626729906956
1019.7697697697698	-1.0097306274551514	-1.410095166096161
1020.0200200200201	-1.0069802560106582	-1.4008368895788748
1020.2702702702702	-1.0034934070974	-1.3917871752639825
1020.5205205205204	-0.9998344548186143	-1.382926353531167
1020.7707707707707	-0.9963584890023033	-1.3742360631059223
1021.0210210210209	-0.9932043125246902	-1.3657003771524714
1021.2712712712713	-0.9902944413102227	-1.3573058032737668
